,username,text,likes,date
41,@ShaykhSulaiman,BREAKING: CONFIRMED ISRAEL CAPTURE INNOCENT CIVILIANS AND NOT HAMAS AS JOURNALIST IS ALSO CAPTURED   Diaa Al-Kahlot a well known journalist is among those that have been taken hostage. His relatives are also almost among those captured.  Source @stairwayto3dom,54081,"Dec 7, 2023 · 4:45 PM UTC"
42,@amjadt25,"""Sinwar (the leader of #Hamas terrorists in #Gaza) you bastard"". Sinwar hides beneath the ground, along with the rest of the scumbags."" This is the voice of a Gazan,(not from #Israel), speaking to a local radio station. This won't be published anywhere.",2557,"Dec 7, 2023 · 9:49 AM UTC"
43,@CrystalABM,@CommunityNotes These were terrorists who came from underground tunnels when they were flooded.  They surrendered. Just because someone posed as an”journalist” doesn’t stop him from being complicit. Remember it was proven journalists were with Hamas on October 7th,0,"Dec 8, 2023 · 3:55 AM UTC"
44,@RashadRamzan,I salute your Level of lies and  Level of your shame while telling lies.   They are civilians.    IDF can't fight with hamas.,488,"Dec 7, 2023 · 6:24 PM UTC"
45,@jakeshieldsajj,These are civilians pulled out of a refugee camp not Hamas   Hamas is hiding in tunnels and armed unlike these people,19277,"Dec 7, 2023 · 9:18 PM UTC"
46,@jacksonhinklle,"🚨🇵🇸 Hamas official Osama Hamdan:  ""Netanyahu FAILED to achieve any goal after 2 months of US-backed genocide!""",10419,"Dec 7, 2023 · 10:00 PM UTC"
47,@visegrad24,Another good day for the IDF  Hamas will soon have lost control of all parts of Gaza,11288,"Dec 7, 2023 · 10:55 PM UTC"
48,@choeshow,"HAPPENING NOW: Thursday afternoon, dozens of pro-Palestine activists hijacked Gerberding Hall in Red Square which houses the president's office(@amcauce.)  They're demanding an immediate ceasefire to the Israel-Hamas war. They also want the University of Washington(@UW) to cut ties with Israel and local defense company Boeing.  No one is being allowed into the building.  At the same time, the campus cops are not actively trying to remove them. Instead, the demonstrators have been warned to vacate the building by 5pm or else. Showdown looming?  Btw most of these folks are not students. They're the same FAR-LEFT activists pushing their Commie/Marxist/Socialist agenda and fueling all the recent pro-Palestine protests on campus and in downtown Seattle.  Some of them are also with Stop The Sweeps Seattle, a radical activist group undercutting Mayor Bruce Harrell's plan to address homelessness in the city. These folks are all part of a well orchestrated Seattle protest network. They spotted me right away so I took off. Didn't want to deal with the headache. I have other stories to cover today.  #Seattle #Israel #Palestine #Hamas #Terrorism #War",322,"Dec 8, 2023 · 12:12 AM UTC"
49,@HadiNasrallah,"Sickening. The Israeli forces are rounding up Palestinian civilians and stripping them naked to humiliate them and probably mass execute some of them, ISIS-style. Those men are not Hamas. Israel is lying to get a sense of victory after butchering babies",18293,"Dec 7, 2023 · 3:10 PM UTC"
50,@Telos_Demos,"Ahistorical morons think Hamas are some kind of freedom fighters.  They are terrorists, dictators, and Islamo-fascists of the worst kind.  This article compares Israel and Hamas:  https://medium.com/@pluralus/is-hamas-the-same-as-israel-or-worse-24c7fb8190c3",0,"Dec 8, 2023 · 3:55 AM UTC"
51,@FunnyvideosMor1,"Omg! Isrealis are so desperate to show the world they are winning they kidnap a bunch of random men torture and shoot them hitler style! The men have nothing to do with Hamas, I am so saddened by this and angry.😠",5,"Dec 8, 2023 · 3:20 AM UTC"
52,@DrEliDavid,"12 rockets fired by Hamas from a UN 🇺🇳 humanitarian site in Gaza.  @antonioguterres, @DrTedros, you there? Where is your condemnation?",15080,"Dec 7, 2023 · 11:05 AM UTC"
53,@ICCT_TheHague,"What do we know about Hamas?  @Joana_Cook interviewed @DevorahMargolin covering topics such as the group's strategic shift, leadership, comparisons with ISIS, interactions with external entities, and potential future developments  Read the full interview➡️ https://buff.ly/47QPDVq",17,"Dec 7, 2023 · 9:00 AM UTC"
54,@HedayaEmilie,Call on Hamas to release the hostages and ceasefire. Start there at your press conference pretending to have empathy. Israel will continue until Hamas is eliminated and all hostages are free. Happy Hanukkah 🕎🇮🇱,0,"Dec 8, 2023 · 3:55 AM UTC"
55,@LS62901203,"Hamas and their actors should get an Oscar for best  acting, directing and decorations!",0,"Dec 8, 2023 · 3:55 AM UTC"
56,@Muwaahid92,BREAKING:- CONFIRMED ISRAEL CAPTURE INNOCENT CIVILIANS AND NOT HAMAS AS JOURNALIST IS ALSO CAPTURED Diaa Al-Kahlot a well known journalist is among those that have been taken hostage. His relatives are also almost among those captured. Source @stairwayto3dom #Gaza_Genocide #Gaza,135,"Dec 7, 2023 · 5:08 PM UTC"
57,@dtuckness,You would favor your child molesting and rapist friends in hamas.  Sad you prefer the animals over people.,0,"Dec 8, 2023 · 3:55 AM UTC"
58,@ryangrim,The IDF is claiming these are Hamas fighters pulled from tunnels. That is not true. This was a civilian who stayed behind to care for his disabled daughter and elderly mother. Who is caring for them now?,10044,"Dec 7, 2023 · 6:14 PM UTC"
59,@JoshuaPHilll,I haven’t been able to wrap my mind around this new low from the IDF and Zionist propagandist. Stripping people and parading them in the streets. Celebrating this debased fascist act while people say “That’s a journalist. That’s my family. That’s not Hamas.” I can’t fathom it.,2567,"Dec 7, 2023 · 6:51 PM UTC"
60,@aziz0nomics,This is real courage.  Criticising Hamas live on TV from within Gaza for STEALING AID FROM PALESTINIANS.  This is what a FREE PALESTINIAN looks like.  ❤️,5223,"Dec 7, 2023 · 10:33 AM UTC"
61,@HenMazzig,"This is unbelievably horrific.  According to doctors who treated those released, Hamas drugged hostages with tranquillisers to make them look happy.  Some released hostages were also in near-death condition. Others developed severe conditions such as heart problems and strokes from being captivity.  They can’t even begin the recovery process because their families are still being held by Hamas.",3475,"Dec 7, 2023 · 1:28 PM UTC"
62,@FutureFred1,"Bowman should be charged with the same charges as Jan. 6 defendants for interfering with a Congressional proceeding. Equal application of the law, you insidious genocidal Hamas NAZI.",0,"Dec 8, 2023 · 3:55 AM UTC"
63,@TheMossadIL,"Abdel Aziz Rantisi, a senior terrorist operative from Hamas’ military intelligence unit, responsible for field intelligence in the Gaza Strip and participated in the planning of the October 7th massacre.   Ahmed Aiush, a terrorist operative from Hamas’ Carrara Battalion observation unit, responsible for compiling field intelligence from across the Gaza Strip.  Eliminated.                                Eliminated.",2377,"Dec 7, 2023 · 5:26 PM UTC"
64,@AdolfRapeler,"Making ""posted it again award"" stickers to hang on those ""kidnapped by Hamas"" atrocity propoganda posters",36,"Dec 6, 2023 · 5:08 AM UTC"
65,@airforceO1,Is Prof. Refaat also Hamas? He has been assassinated by Israel!,0,"Dec 8, 2023 · 3:55 AM UTC"
66,@1Truthfulchat,"We all know you are pro HAMAS. spreading propaganda because you are anti semites. George Soros, self hating Jew, is your backer. He sold his soul to HAMAS a long time ago.",0,"Dec 8, 2023 · 3:55 AM UTC"
67,@AightSoBoomPod_,No mention of the countless Jewish  woman that were raped by Hamas . You’re a disgraced to this city and I can’t wait till you’re unseated,0,"Dec 8, 2023 · 3:55 AM UTC"
68,@singledsnack,"They are not “hamas fighters”, they are Palestinian civilians who were abducted by Israelis from shelters, and they are being prepared for mass execution.",428,"Dec 7, 2023 · 4:27 PM UTC"
69,@BBCAfrica,"Kenya is set to send 1,500 farm workers to Israel, becoming the second African country to do so, after Malawi.  More than 10,000 migrant farm workers - mostly from Thailand - have left Israel since the start of the war with Hamas, in October. ⏩ https://bbc.in/3t7uvM4",251,"Dec 7, 2023 · 11:30 AM UTC"
70,@CensoredMen,🇵🇸🇮🇱 Poor mother 😔  This is Israel targeting Hamas.,14733,"Dec 7, 2023 · 3:10 PM UTC"
71,@Rohit_Live007,"Ever since the beginning of the Israel-Hamas, Indian Muslims social media influencers have weaponized disinformation to spearhead the anti-israeli propaganda campaign on social media. My analysis | via  @BefittingFacts",63,"Dec 7, 2023 · 6:28 PM UTC"
72,@ShaykhSulaiman,BREAKING: ISRAELI HOSTAGES RETURN FROM HAMAS AND SAY IT WAS LIKE A VACATION  Being with Hamas was like being on a holiday  They clearly treated them well  Compare that to the abuse suffered by the Palestinian hostages in Israeli captivity,2671,"Dec 7, 2023 · 8:49 PM UTC"
73,@HenMazzig,"Itay and Maya Regev, who were kidnapped by Hamas and are now recovering in Israel, endured horrific levels of torture and abuse.  Itay who was shot in the hip said Hamas operated him while he was in full conscious as form of abuse. His sister Mia who was shot in her leg, had her feet operated on and re-connected upside down by the terror group.  In the Israeli hospitals the medical team has revered the damaged Hamas sadistic terrorists caused them.",7312,"Dec 7, 2023 · 9:22 PM UTC"
74,@nedk1119,I don't advocate for killing random people but I do advocate for killing Hamas and supporters of Hamas actions. Israel has the right to protect itself from terrorism! Israel is trying harder than any country has to avoid civilian death,1,"Dec 8, 2023 · 3:55 AM UTC"
75,@libsoftiktok,This Tiktoker wants to be a hostage in Gaza because video showed the released hostages smiling and shaking hands with Hamas.  Reports show Hamas drugged the hostages so they would appear calm. A doctor reported many hostages were sexually abused. Video shows Hamas commanding the hostages to wave and smile. Other hostages report intense beatings and very little food.  Imagine falling this hard for Hamas propaganda.,7818,"Dec 7, 2023 · 4:59 PM UTC"
76,@ShragaTeichman,"Murder? Sure, Hamas (proudly) did that.  Rape? HOW DARE YOU ACCUSE THEM!",0,"Dec 8, 2023 · 3:55 AM UTC"
77,@TomReed90139875,"Once Hamas unconditionally surrenders, then a ceasefire may be on the table.",0,"Dec 8, 2023 · 3:55 AM UTC"
