,username,text,likes,date
61,@dennis_reichel,"Would someone care to explain why Israel is an essential strategic ally to the US, as opposed to being its greatest security liability and foreign policy embarrassment?",3038,"Dec 7, 2023 · 5:08 AM UTC"
62,@HenMazzig,"Itay and Maya Regev, who were kidnapped by Hamas and are now recovering in Israel, endured horrific levels of torture and abuse.  Itay who was shot in the hip said Hamas operated him while he was in full conscious as form of abuse. His sister Mia who was shot in her leg, had her feet operated on and re-connected upside down by the terror group.  In the Israeli hospitals the medical team has revered the damaged Hamas sadistic terrorists caused them.",6939,"Dec 7, 2023 · 9:22 PM UTC"
63,@realrobdurden,"Adolf Hitler once said, “No food, water, fuel, electricity, everything is closed. We are fighting human animals and we are acting accordingly.”  No wait, that was Israel’s Defense Minister Yoav Gallant. Sorry. It’s easy to get these kinda guys confused.",42925,"Dec 7, 2023 · 4:43 PM UTC"
64,@johndotbastable,RIP bozo 🤡,0,"Dec 8, 2023 · 3:32 AM UTC"
65,@NiekVelsen,Based on what evidence do you claim none of them are Hamas fighters? Why are you defending the genocides Hamas has caused in Israel and Gaza?,0,"Dec 8, 2023 · 3:32 AM UTC"
66,@Dima_Khatib,Amongst these Palestinians we recognise journalist Diaa Al Kahlout. He could not move down south because he has an elderly mother and a child with disability.  Of course Israel will tell you they are all terrorists,19289,"Dec 7, 2023 · 4:20 PM UTC"
67,@danisiapa,"How many Palestinians living in Israel? Millions.  How many jews live in Gaza? - ?  Yup, that is clearly ethnic cleansing!",0,"Dec 8, 2023 · 3:32 AM UTC"
68,@IvyMarieArt,"While rich and famous ""Feminists"" like Beyonce and Taylor Swift have refused to acknowledge Gaza's existence, over 1 million Palestinian women have been deprived of sanitary/menstrual products for 61 days.  Beyonce and Taylor Swift, instead, released their films in Israel.",487,"Dec 7, 2023 · 9:22 PM UTC"
69,@OliLondonTV,"Gaza on Oct 7th vs Now. ⬇️  2 months ago Palestinians took to the streets of Gaza celebrate the terrorists that massacred 1,200 people in Israel.   Today, IDF have detained many of those who committed the atrocities on that day from the Hamas Shejaiya Battalion.",20677,"Dec 7, 2023 · 5:17 PM UTC"
70,@DrLoupis,No such thing called “Israel”.,131489,"Dec 1, 2023 · 10:42 PM UTC"
71,@robrousseau,It is actually disgusting how the more Palestinians that Israel kills the more we are being asked to take into consideration the hurt feelings of privileged college students who are afraid of slogans,46525,"Dec 7, 2023 · 2:38 PM UTC"
72,@swerpette1,You don’t think he was the mastermind of the October 7 attack on Israel?,0,"Dec 8, 2023 · 3:32 AM UTC"
73,@dancohen3000,"As Israel exterminated hundreds of Palestinians in the Gaza ghetto, the odious propagandist @bariweiss singled out Refaat Alareer (@itranslate123) for making fun of fully debunked Zionist lies, putting a target on his back.  Now that Israel has murdered him, she must be constantly reminded that his blood is on her hands.",5424,"Dec 7, 2023 · 10:25 PM UTC"
74,@muhammadshehad2,"Refaat wrote this a month ago. Yesterday, Israel killed him, his brother, sister & her 4 kids with a targeted airstrike on his sister's home!  @bariweiss, any second thoughts about your incitement against Refaat & attempt to get him cancelled?  Never too late for soul-searching!",5226,"Dec 7, 2023 · 8:57 PM UTC"
75,@congee4lunch,"this is genocide and ethnic cleansing btw. the systematic erasure of an entire nation is not limited to killing. it’s also the eradication of landmarks, culture, and history—until what is known as “palestine” is completed wiped. if you stand with israel you stand with colonialism",18104,"Dec 4, 2023 · 9:07 PM UTC"
76,@hrw,Israel: Strikes on Journalists in Lebanon Apparently Deliberate https://bit.ly/46Mdx3t,980,"Dec 7, 2023 · 9:01 AM UTC"
77,@TheNoLabelsPod,Stay there. Don't come back.,0,"Dec 8, 2023 · 3:32 AM UTC"
78,@ClaudiaWebbe,Why are we allowing Israel to carry on killing Palestinian children in Gaza?  Ceasefire Now,16481,"Dec 7, 2023 · 11:12 AM UTC"
79,@tomgrantham07,"I, and most Americans stand with Israel.",0,"Dec 8, 2023 · 3:32 AM UTC"
80,@Bizkit68390579,At the expense of the Palestinians.  Make Israel another U.S state and move them out of the middle east.,0,"Dec 8, 2023 · 3:32 AM UTC"
81,@NirmitKothari22,Warm wishes to our friends from Israel 🇮🇳 🙏 🇮🇱  🎉Hanukkah Sameach🎉  @IsraelinIndia,0,"Dec 8, 2023 · 3:32 AM UTC"
82,@ejmalrai,Not one single member of the Palestinian resistance surrendered or raised the white flag to the Israeli Occupation Forces. These are civilian non-combatants that #Israel is again violating the Geneva Convention and arresting them.,19295,"Dec 7, 2023 · 2:51 PM UTC"
83,@ShaykhSulaiman,BREAKING: CONFIRMED ISRAEL CAPTURE INNOCENT CIVILIANS AND NOT HAMAS AS JOURNALIST IS ALSO CAPTURED   Diaa Al-Kahlot a well known journalist is among those that have been taken hostage. His relatives are also almost among those captured.  Source @stairwayto3dom,52882,"Dec 7, 2023 · 4:45 PM UTC"
84,@GovRonDeSantis,"Beginning at sundown, the Jewish people will light the menorah for eight days to celebrate the victory of the Maccabees, rededication of the Temple in Jerusalem, restoration of religious freedom, and reestablishment of Jewish sovereignty in the Land of Israel.   Chanukah occurs during a difficult time this year. Israelis massacred by Hamas on Oct. 7 and heroic Israeli soldiers fallen in battle will not physically be with their loved ones. 138 hostages are away from their families along with the brave Israeli soldiers fighting. We pray for their safe return.  Chanukah brings light to the darkness. The Jewish people are strong and resilient and like the Maccabees, Israel's soldiers will be victorious. Am Yisrael Chai. Happy Chanukah.",3062,"Dec 7, 2023 · 10:48 PM UTC"
85,@ShaykhSulaiman,ISRAEL KILLED U.S CHRISTIAN JOURNALIST SHIREEN  NEVER FORGET,2241,"Dec 7, 2023 · 3:30 PM UTC"
86,@cwfortrading,"It looks like people don't like their coffee with a dash of politics.  Starbucks loses $12B market cap amid sales concerns, boycotts over Israel.  https://nypost.com/2023/12/07/business/starbucks-loses-12b-in-market-value-amid-boycotts-over-israel",0,"Dec 8, 2023 · 3:32 AM UTC"
87,@jingyanfanfu1,Israel's crime. The United States is an accomplice. This is the justice and conscience of raping human beings in front of the world. They are demons and should be destroyed.,0,"Dec 8, 2023 · 3:32 AM UTC"
88,@jeremyrhammond,"Presidential candidate Robert F. Kennedy, Jr. propagates false Zionist propaganda narratives to justify Israel's horrific crimes against the Palestinians. https://vist.ly/nnm9",14,"Dec 8, 2023 · 2:04 AM UTC"
89,@OnlinePalEng,"‘Israel’ killed University Professor and Writer Dr. Refaat Alareer along with his brother, his sister, and her 4 children in an Israeli airstrike in Gaza.",154,"Dec 8, 2023 · 1:26 AM UTC"
90,@peterdaou,"One day, the killing will end. I know. I lived through it in Lebanon.   When Israel's bloodlust is finally satiated, Israel will be forever stained, a pariah among nations.   And everyone who enabled them will live in everlasting shame.  #Gaza",713,"Dec 8, 2023 · 1:46 AM UTC"
91,@RaniaKhalek,Do not forget his words before Israel murdered him,5256,"Dec 7, 2023 · 8:17 PM UTC"
92,@CensoredMen,🇵🇸🇮🇱 Poor mother 😔  This is Israel targeting Hamas.,14354,"Dec 7, 2023 · 3:10 PM UTC"
93,@Motabhai012,"https://nitter.ktachibana.party/OliLondonTV/status/1732811560601465134/video/1  Gaza on Oct 7th vs Now. ⬇️  2 months ago Palestinians took to the streets of Gaza celebrate the terrorists that massacred 1,200 people in Israel.   Today, IDF have detained many of those who committed the atrocities on that day from the Hamas Shejaiya Battalion.",409,"Dec 7, 2023 · 5:22 PM UTC"
94,@KimIversenShow,Israel is actively clearing ALL Palestinians from Northern Gaza claiming it’s because it’s an active war zone. When was the last time a military cleared a war zone? Is Aleppo cleared of civilians? Is Mariupol cleared of civilians?,901,"Dec 7, 2023 · 6:58 PM UTC"
95,@IDFfan,"You know #Chanukah is a celebration of victory over those who threatened us, right? VICTORY in our ETERNAL HOMELAND, #Israel! #עםישראלחי  💙🇮🇱💙",0,"Dec 8, 2023 · 3:32 AM UTC"
96,@SGondori,"So, you know more the Ben-Gurion-- the chief thief? And if the UN says we'll unsplit Palestine and get it back to its real owners, will ""israel"" submit to that? ""Israel"" is already going against many intl laws and UN resolutions to begin with. #StopArmingIsrael",0,"Dec 8, 2023 · 3:32 AM UTC"
97,@zoo_bear,"Refaat Alareer was killed by @Israel today.   In his recent interview in October,  ""There is no way out of Gaza. What should we do... drown? Commit mass suicide? Is this what Israel wants? And we're not going to do that.. I am an academic, Probably the toughest thing I have at home is an Expo Marker. But if the Israelis invade us, If they barge at us, open door to door to massacre us, I am going to use that Marker, Throw it at the Israeli soldiers, even if that is the last thing that I will be able to do. And this is the feeling of everybody in Palestine. We are helpless and we have nothing to lose""",2655,"Dec 7, 2023 · 9:06 PM UTC"
98,@jacksonhinklle,🚨🇮🇱 This is how Israel treat Jews who oppose Zionism.,7758,"Dec 7, 2023 · 10:16 PM UTC"
99,@jakeshieldsajj,Israel is targeting medical crews,10538,"Dec 7, 2023 · 6:16 PM UTC"
100,@kthalps,Israel has no right to exist.,15428,"Dec 7, 2023 · 7:47 PM UTC"
101,@Buki_YGV,"It was as part of an immigration process, it means Israel recognized her “conversion” to Judaism, but not as Jewish by birth.",0,"Dec 8, 2023 · 3:32 AM UTC"
102,@LexiAlex,Israel is a rabid dog that will take everybody else down. No politician who supported this is re-electable,772,"Dec 7, 2023 · 6:18 PM UTC"
103,@ytirawi,"From Beit Lahia |  Civilians taken hostage & brought to military bases in Israel; the men were abducted from a UN school in Beit Lahia. Women & children were kicked to south Gaza, while males over 16 were kidnapped.  A common practice which they did numerous times in Gaza city.",15136,"Dec 7, 2023 · 1:32 PM UTC"
104,@PressTV,"US complicity in Gaza genocide: Washington supplied Israel with 10,000 tons of military equipment since Gaza war  #GazaGenocide",123,"Dec 7, 2023 · 1:38 PM UTC"
105,@Remroum,"Israel seeks to colonize language   Free Palestine = antisemitism   From the river to the sea = genocide   Intifada = genocide   Boycott = antisemitism   Palestinian flag = intimidation   Palestinians denied the ability to narrate their struggle, define their language or tactics",1937,"Dec 7, 2023 · 7:24 PM UTC"
106,@sarahkendzior,"Israel has murdered tens of thousands of civilians including thousands of children. It is also committing cultural genocide through the destruction of universities, libraries, museums, mosques, and more. It is blatant, vicious, immoral. Nothing justifies it.",646,"Dec 7, 2023 · 11:18 PM UTC"
107,@markal84,"Basically, every Israel genocide supporter. Just filled with hate and ignorance.   #IsraelTerorrist #IsraeliNewNazism #IsraeliLies",60,"Dec 6, 2023 · 6:38 AM UTC"
108,@Partisangirl,Israel has begun the take over of Gaza . This is all about leubensraum.,261,"Dec 8, 2023 · 2:31 AM UTC"
109,@RaniaKhalek,"Refaat, who Israel just murdered, wrote during the genocide that would ultimately kill him, “I never met a Jew who didn’t want to harm, shoot at, beat, or prevent me from traveling until I was 36 years of age.”   Yet he recognized, “Israel is not all the Jews.”   This is who Israel killed. Then it gaslights us that it must carry out a genocide to fight anti-semitism.   Please read what Refaat said in this post. Rest in power.",935,"Dec 7, 2023 · 9:48 PM UTC"
110,@MaxBlumenthal,"Refaat said to me: “Israel wants us to be closed, isolated—to push us to the extreme. It doesn’t want us to be educated. It doesn’t want us to see ourselves as part of a universal struggle against oppression. They don’t want us to be educated or to be educators.”  He was a living model of the spirit of resistance Israel is determined to destroy. We must not let them win.",7024,"Dec 7, 2023 · 10:57 PM UTC"
111,@docjazzmusic,"#READ 'Israel' is circulating pictures like these of men stripped down to their underwear, claiming that they are captured resistance fighters who surrendered.  Here is a list of observations that I hope you take to heart:  1. These are not fighters: several of them have been recognized BY NAME as civilians on social media.  2. A second reason they can't be fighters is that Palestinian freedom fighters DO NOT mass surrender, as they believe in, and strongly prefer martyrdom.  3. IF they were fighters, pictures would be presented of their weapons - none have been shown.  4. What is being sold as a 'military victory' is in fact a WAR CRIME - and worries are rising that these civilian men will be summarily executed.  5. Zionists all over social media are cheering over this new Israeli fabrication - and that is exactly the purpose of this lie. The Israeli army wants to show the Israeli public a victory, so it makes one up. It is clearly working, as cognitive dissonance has had Israelis believing in almost every lie, while the rest of the world has been ridiculing them.  6. These pictures will do nothing to give hope to the Israeli public of retrieving the hostages - as these civilians themselves may he tortured, but actually have no knowledge of anything, including the whereabouts of the hostages.  7. It remains to be seen how Western media will respond to these publications, but for the Israeli propaganda purposes outside of 'Israel', these pictures practically serve no goal.",12466,"Dec 7, 2023 · 3:18 PM UTC"
112,@YousefAljamal,"Israel killed Gaza’s saint. Our guide and mentor, editor, writer and lecturer, Dr. Refaat Alareer.",5594,"Dec 7, 2023 · 7:56 PM UTC"
113,@DonDavies,"Israel is now using sophisticated technology to target and kill leading Gazan academics, authors, historians, poets, artists, journalists, teachers. These are not Hamas leaders. This is cultural genocide. The world must intervene to stop this brutal crime against humanity.",744,"Dec 8, 2023 · 12:52 AM UTC"
114,@Elisabe33086585,We don't know exactly. Israel got rid of the surveilance cameras. One only gets rid of proofs if they expose their own criminal acts. and considering how Israel has been caught in so many lies....nothing they say is proof of anything.,0,"Dec 8, 2023 · 3:32 AM UTC"
