,username,text,likes,date
81,@ImactuallyBrad,We really need that Captain Eo in 4K immediately!!,44,"Dec 8, 2023 · 2:00 AM UTC"
82,@clarkes,Who/what are you?,0,"Dec 8, 2023 · 3:38 AM UTC"
83,@ahmed_shay80609,"give these civilians just one weapon. They will have an entire IDF fleet run for their life naked. Israelis are evil, of course not all of them but most of them.",0,"Dec 8, 2023 · 3:38 AM UTC"
84,@GlobalRabbi,"NBC News: The man who allegedly fired a round from his shotgun outside Temple Israel in Albany, NY earlier today has been arrested and identified as Mufid Al Khader, 28, according to two senior law enforcement officials.   Officials say he made statements saying ""free Palestine"" around the time of the shooting.  @chloe_aatkins @Tom_Winter @Penn @Harvard @MIT @EliseStefanik",183,"Dec 8, 2023 · 3:00 AM UTC"
85,@Naila_Ayad,Who stands with Palestine today?,42671,"Dec 7, 2023 · 6:51 AM UTC"
86,@jennineak,"don’t ever want to fucking hear from or about how some dipshit feels ‘unsafe’ on campus because their peers condemn genocide. you weaponise safety when palestinians are being slaughtered in palestine, targeted, censored, killed and attacked abroad",928,"Dec 8, 2023 · 1:11 AM UTC"
87,@S1R3NH3AD,be SO real with me rn,153,"Dec 7, 2023 · 11:30 PM UTC"
88,@Lowkey0nline,"""How many more children have to die?""   Israel lobby-funded leader of the Labour Party, Keir Starmer, is confronted over his position on Israel's genocidal war on Gaza.",39888,"Dec 7, 2023 · 4:57 PM UTC"
89,@Naila_Ayad,Like and retweet if you want to raise your voice for Palestine.,2188,"Dec 7, 2023 · 4:56 AM UTC"
90,@ME_Observer_,"⚡️Sirens sounded at the American embassy in the capital, Baghdad",72,"Dec 8, 2023 · 3:20 AM UTC"
91,@aaronjmate,I hate the Nazi Israeli regime with all my heart.,23930,"Dec 7, 2023 · 8:09 PM UTC"
92,@DarthBellic,That would've been a prime time to jump the stage for a free Palestine protest  Just upstage the industries biggest zionist,0,"Dec 8, 2023 · 3:38 AM UTC"
93,@Ruth_Mensch,"Just to be clear - stripping men naked and forcing them to walk through the streets, bound, is still a form of sexual violence",61896,"Dec 7, 2023 · 2:13 PM UTC"
94,@illythescottie,SO AM I OMGOMGOMG IM SO EXCITED IV BEEN SO ANTICIPATING YOUR NEXT TITLE!❤️❤️ NMS IS ONE OF MY FAVE GAMES OF ALL TIME WE LOVE YOU❤️❤️❤️❤️❤️❤️❤️,1,"Dec 8, 2023 · 3:38 AM UTC"
95,@canarymission,"🔴Jordan Vaughan, an organizer for Philly Palestine Coalition, led several rallies praising Hamas' war crimes. On Twitter, he posted a photo of Israeli Shani Louk, who was brutally killed by Hamas, & wrote, “Glad Hamas killed this b*tch cause what’s that?” https://canarymission.org/individual/Jordan_Vaughan",3065,"Dec 7, 2023 · 8:00 PM UTC"
96,@bingregory,"Ever since those three kids got shot in Burlington, Dad has been wearing a kaffiyeh whenever he goes out - a kaffiyeh he got 50 years ago in Palestine and kept in a drawer for 50 years!",799,"Dec 7, 2023 · 10:38 PM UTC"
97,@ANGELO7E,"Palestinian armys are dealing with too much we have to take initiative and start implementing plans of our own in support for Palestine and all oppressed! If you wish to help and support a call for action page, drop your @ or send me a dm for more info if interested",20,"Dec 8, 2023 · 2:12 AM UTC"
98,@KathrynJane805,Henry Ford was a Fascist and WW2 Nazi sympathizer like MOST of the power figures then.,0,"Dec 8, 2023 · 3:38 AM UTC"
99,@bees_are_cool,"I would assume it’s similar to people identifying more with specific labels. Sexuality and romantic attraction are fluid and can change, so I don’t see why people can’t play around with labels to find one that fits them best",0,"Dec 8, 2023 · 3:38 AM UTC"
100,@itranslate123,"George Floyd was all over the walls in occupied Palestine 🇵🇸, from Gaza to the West Bank.  Palestinians have supported Black Lives Matter and sent virtual tips for the Ferguson protesters to deal with tear gas.  Meanwhile, Israel trains American police to kill Black people. #blm",10997,"Oct 29, 2023 · 1:27 PM UTC"
101,@INDIEWASHERE,"Taylor swift being the most influential person on the planet currently and her not saying a word about Palestine and then gracing the cover of person of the year which should’ve been given to Journalists fighting their ppl/their own lives, is unholy levels of sinister",34352,"Dec 6, 2023 · 6:02 PM UTC"
102,@faesrun,I love when the Game awards bring in celebrities instead of actual game devs and people who work in the game industry and letting them share their stories and speeches  😀,2,"Dec 8, 2023 · 3:37 AM UTC"
103,@v_w_en,"hate false memory bcs i remember going to this rlly nice gift shop with my friend and i want to go there today but i fucking forgot which mall its from,,, my brain is telling me 4 different malls at the same time help",0,"Dec 8, 2023 · 3:38 AM UTC"
104,@joyajlouny,Sorry Richie I can trace my family roots as a Palestinian Christian back to Jerusalem 1000 years it was Palestine. You can say whatever you like the Jews took Palestine even golda Meir  said that she was Palestinian and held the Palestinian passport. Please look it up . You can’t lie your way out of the truth.,0,"Dec 8, 2023 · 3:38 AM UTC"
105,@MsKellyMHayes,"I’m overwhelmed by the horror of this moment. I will collect myself and translate my grief into action. But right now, I’m crying in my car, mourning murdered children, doctors who would not abandon their patients, a journalist who fed Gaza’s cats, and Palestine’s stolen poets.",2248,"Dec 7, 2023 · 8:53 PM UTC"
106,@_ColdHands_,"The Arab Palestinians never had sovereignty over 'Palestine', unlike the Jews who had established kingdoms there in the Second Millennium before Christ.  The Palestinians are the colonisers as is painfully obvious from archaeology.",55,"Dec 7, 2023 · 11:33 AM UTC"
107,@funnecfox,"i’m not done being mad at this. Palestinian women are being forced to give birth with no anesthesia during c-section and are being murdered with their fetuses and children, they are free bleeding with no pads/menstrual/sanitary items, they’re being raped by the IOF,",1754,"Dec 7, 2023 · 5:31 PM UTC"
108,@missfalsteenia,an image I’ll never forget. a birthday amongst the rubbles.  this was in 2021 before oct 7th.,60882,"Dec 7, 2023 · 6:15 AM UTC"
109,@QudsNen,"An Israeli journalist posts a picture of Palestinian civilian prisoners in Gaza, stripped naked in the street, and poses the question on his account, ""Why are there no women in the picture?""  It has been reported that the journalist participated in firing mortar shells at the homes of Palestinians in Gaza while accompanying the occupation forces.",5630,"Dec 7, 2023 · 8:23 PM UTC"
110,@ShaykhSulaiman,A DISABLED MAN COULD NOT EXPRESS THEY KILLED HIS MOTHER,7742,"Dec 7, 2023 · 9:45 PM UTC"
111,@YM_02_,Algeria women’s team repping Palestine today after qualifying for AFCON 🫶🏽,194,"Dec 4, 2023 · 9:55 PM UTC"
112,@imRavikantYadav,'Article 99 of UN Charter' :Details  #UnitedNations #UNcharter #Article99 #Guterres #IsraelPalestineWar #humanitariancrisis #International #Peace #Security #CeasefireNOW #UNSC #Israel #Palestine #Gaza #Hamas #UAE #UPSC   Source: IE,8,"Dec 8, 2023 · 3:23 AM UTC"
113,@pikachurch,TOTK BEST ACTION/ADVENTURE GAME LETS GOOOOOO im hoping it also gets goty 🫣,0,"Dec 8, 2023 · 3:38 AM UTC"
114,@Seamus_Malek,"Refaat Alareer, as a professor of English literature in Gaza, recorded many of his lectures and put them online. I would encourage all of you to watch them and see the love he had for poetry, for Shakespeare, and for Palestine.  https://invidious.no-logs.com/@refaatalareer9499/videos",8237,"Dec 7, 2023 · 8:09 PM UTC"
115,@salcarazzz,Israeli perverts are literally documenting their sexual fetishes of arab women while western outlets are reporting on alleged mass rape by hamas without even one first hand testimony and sources from people who are tied to the Israeli gov. there’s no way this is our reality,12657,"Dec 6, 2023 · 6:35 PM UTC"
116,@lexbyanyname,"once you understand the levels to 🇮🇱 surveillance- you will never again believe these are not deliberate, targeted attacks on 🇵🇸 civilians.   once you understand that 🇺🇸 is building, investing in and rolling out the same things...you'll never feel safe here again",5433,"Dec 7, 2023 · 10:09 PM UTC"
117,@jakeshieldsajj,A young girl taking care of her little brothers because their parents were killed in an Israel airstrike,63931,"Dec 6, 2023 · 7:01 PM UTC"
118,@ao3loser,And then they have the audacity to say Sophia didn’t do anything like okay babe,0,"Dec 8, 2023 · 3:38 AM UTC"
119,@TadhgHickey,"Defiant to the end. A beautiful irreverent soul & a keen mind. Extinguished. We must never let them get away with this. RIP, brother 💚🇵🇸",1683,"Dec 7, 2023 · 11:06 PM UTC"
120,@hussain786_fkh,We support humanity and peace and Palestine,1568,"Dec 7, 2023 · 7:33 PM UTC"
121,@chrisbratt,"Two years ago @tamoorh asked the video games industry to break its silence on Palestine.  Today, as Gaza is being reduced to dust and rubble, and as thousands of innocent Palestinians lay dead, he's making that plea once again.  https://invidious.no-logs.com/watch?v=pDB_wYdn5f4",6008,"Nov 6, 2023 · 4:40 PM UTC"
