username,text,likes,date
@MarioNawfal,"🇺🇸This plane flew over Harvard today in protest against Harvard's alleged antisemitic behavior.   What makes it worse: The banner was apparently funded by Harvard students.  As I've said since the beginning, the war in Gaza will lead to an increase in hate globally, and this is yet another perfect example.  Source: Fox",793,"Dec 7, 2023 · 10:11 PM UTC"
@ImranKhanPTI,Former Prime Minister of Pakistan Imran Khan's condemnation statement from prison against Israel's war crimes in Gaza and the genocide of the Palestinians. #GazaGenocide,27544,"Dec 7, 2023 · 5:10 PM UTC"
@ShaykhSulaiman,BREAKING: ISRAEL USING WHITE PHOSPHORUS IN KHAN YOUNES IN GAZA RIGHT NOW,476,"Dec 8, 2023 · 2:36 AM UTC"
@jacksonhinklle,💔🇵🇸 ISRAEL has reportedly just MURDERED one of the bravest voices & academics from Gaza: Dr. Refaat al-Ar’eer @itranslate123  🙏 Rest in peace,27759,"Dec 7, 2023 · 7:56 PM UTC"
@RaniaKhalek,"People always wonder how the Holocaust happened.   Why did people look away? How could they let that sort of industrialized genocidal slaughter take place? How could so many remain silent, even supportive?   Now we know how it happened. Gaza is showing us the answer to all of those questions.",1912,"Dec 7, 2023 · 10:10 PM UTC"
@InfraHaz,"Dear Ukrainian bums: Fuck off and pay your own bills  Dear ""Israeli"" bums: Fuck off and pay your own bills  Dear Taiwan bums: Fuck off and pay your own bills   Why are we paying for Zionists to kill kids in Gaza?  AMERICANS HAVE THEIR OWN BILLS TO PAY!",1115,"Dec 8, 2023 · 1:58 AM UTC"
@RamAbdu,"The assassins targeted, went after and killed the voice of Gaza, one of its best academics, a human, my dear and precious friend dr. Refaat al-Ar’eer @itranslate123 @GazaWritesBack",13176,"Dec 7, 2023 · 7:32 PM UTC"
@janjancomics,Signal boosting this FB post. The Palestinian families from Gaza don’t have anywhere to stay in Manila after December 21. Please share to reach those who can help.,3888,"Dec 7, 2023 · 7:10 AM UTC"
@BennnyH,Refaat was a brave and wonderful person. He wrote this message to me and my mum from Gaza. Today he was killed by an Israeli airstrike. I'm  devastated.,25556,"Dec 7, 2023 · 8:37 PM UTC"
@DrEliDavid,Hamas: There is no food in Gaza  Hamas terrorists surrendering today: 👇,18768,"Dec 7, 2023 · 8:24 PM UTC"
@DrEliDavid,"12 rockets fired by Hamas from a UN 🇺🇳 humanitarian site in Gaza.  @antonioguterres, @DrTedros, you there? Where is your condemnation?",15013,"Dec 7, 2023 · 11:05 AM UTC"
@QudsNen,"""How many more people have to die?""  Labour Party leader Keir Starmer, funded by the Israel lobby, faces questioning regarding his stance on Israel's genocidal war in Gaza.",816,"Dec 7, 2023 · 5:15 PM UTC"
@A_Abdelrahman0,"‘ISRAELI SETTLERS, TRUE EDITION’  In this Thread🧵I’ll post Israeli Settlers assaults and violations against Peaceful Palestinians, All of these videos were Before Oct 7 and Were not in Gaza  Get ready to witness what’s HIDDEN  -IT’S TIME TO EXPOSE THE TRUTH-",37076,"Dec 6, 2023 · 5:14 PM UTC"
@MargBarAmerica,bari weiss put a target on refaat because he made a joke about the fake “babies in ovens” claim that even israel admitted was made up. the idf knows where everyone in gaza lives. bari has blood on her hands.,8923,"Dec 7, 2023 · 9:00 PM UTC"
@tepermanle,"No, he's maintaining the pretense that he is unaware of the extent that Hamas has turned much of Gaza into a legitimate military target and that intentionally endanger civilians is standard practice for Hamas, PIJ, Hezbollah, etc.",0,"Dec 8, 2023 · 3:47 AM UTC"
@KimJongwins,This is the same tribe that created fake rape allegations whilst enthroning the RAPE RABBI.   ISRAELI ACCUSATIONS ARE CONFESSIONS.   #Gaza #Israel,84,"Dec 7, 2023 · 7:43 PM UTC"
@Aldanmarki,"One of Refaat's last messages to the world.  ""We will win. And Gaza and Palestine will prevail"".",9894,"Dec 7, 2023 · 7:57 PM UTC"
@QudsNen,"An Israeli journalist posts a picture of Palestinian civilian prisoners in Gaza, stripped naked in the street, and poses the question on his account, ""Why are there no women in the picture?""  It has been reported that the journalist participated in firing mortar shells at the homes of Palestinians in Gaza while accompanying the occupation forces.",5689,"Dec 7, 2023 · 8:23 PM UTC"
@MarioNawfal,Cast your votes: Gaza's journalists or Taylor Swift?,31480,"Dec 7, 2023 · 12:30 PM UTC"
@iamjourjean,Now tell me what does the Holocaust memorial in Budapest have in common with the image taken in Gaza.,4008,"Dec 7, 2023 · 10:38 PM UTC"
@QudsNen,Heartbreaking moment: Palestinians in Gaza gather what's left from their families' remaining,3399,"Dec 7, 2023 · 5:09 PM UTC"
@Kahlissee,Gaza is the new Holocaust.,1573,"Dec 7, 2023 · 11:47 PM UTC"
@visegrad24,"American cafe staff refuse to let a Jewish woman use their restroom.  Inside, they have “decorated” it with texts saying:  “Zionism = fascism” “Neutrality helps genocide in Gaza”  There is a mass-psychosis going on…",9240,"Dec 7, 2023 · 9:21 AM UTC"
@AJEnglish,"“Trauma is utterly unprecedented.“   UNICEF tells Al Jazeera that the lack of water, food, medicine and protection is becoming an even bigger threat than bombs to the lives of thousands in Gaza ⤵️",1097,"Dec 7, 2023 · 9:42 PM UTC"
@NRC_Egeland,"Increasingly, we cannot reach the civilian population in Gaza, because our own aid workers are fleeing for their lives.",2060,"Dec 7, 2023 · 9:23 AM UTC"
@abierkhatib,UN Human rights chief  “ situation in #Gaza is apocalyptic”,1578,"Dec 7, 2023 · 3:39 PM UTC"
@Stevesosebee,The brutal two-month long killing of thousands of #Gaza children has deeply affected me on an emotional and even a spiritual level in ways I will never truly recover. I think  about thousands of other children in Gaza who we had planned to help.    Thread,254,"Dec 8, 2023 · 3:24 AM UTC"
@cjwerleman,“An unbridled and terribly cruel attack against Gaza creates hatred of Israel at levels we've never seen before…And what's even more terrible is this hatred will be justified. Nothing will be more justified.”,48,"Dec 8, 2023 · 3:28 AM UTC"
@georgegalloway,Satan has surely taken a firm hand on Israeli conduct now. They imagined this image would help them in the world... #Gaza_Genocide,11280,"Dec 7, 2023 · 8:15 PM UTC"
@Saalaaaam,A seamstress in Gaza who designed Palestinian embroidered dresses for my family was killed in Gaza with her children while seeking shelter at a UN school. She is not a number- Her name is Neirman Mohammad Abu Shaeb. Here are some pieces she designed.   Rest in power 💔,14711,"Dec 6, 2023 · 3:18 AM UTC"
@Angryman_J,"History will write that Egypt had the Nile River and Gaza died of thirst..  History will write that Saudi Arabia and the United Arab Emirates have oil seas, while Gaza has no fuel for an ambulance...  History will write that the Arabs have 4 million soldiers and they could not get even a single bullet into Gaza..  History will write that Saudi Arabia paid billions of dollars for entertainment and parties, and there was no bread or water in Gaza...  And history will write that Pakistan was made in the name of Islam and it did nothing to help their brothers in Gaza...  There will be accountability eventually for staying silent.",625,"Dec 7, 2023 · 11:02 AM UTC"
@hudabeauty,"I know you’re exhausted talking about Gaza, but the tipping point is here…..don’t stop",21151,"Dec 7, 2023 · 5:11 PM UTC"
@jacksonhinklle,💔🇵🇸 Footage circulated by Israeli media shows Israel’s military kidnapping Palestinians from Gaza and stripping them naked.,20888,"Dec 7, 2023 · 9:13 PM UTC"
@OliLondonTV,"Gaza on Oct 7th vs Now. ⬇️  2 months ago Palestinians took to the streets of Gaza celebrate the terrorists that massacred 1,200 people in Israel.   Today, IDF have detained many of those who committed the atrocities on that day from the Hamas Shejaiya Battalion.",21015,"Dec 7, 2023 · 5:17 PM UTC"
