,username,text,likes,date
56,@dancohen3000,"As Israel exterminated hundreds of Palestinians in the Gaza ghetto, the odious propagandist @bariweiss singled out Refaat Alareer (@itranslate123) for making fun of fully debunked Zionist lies, putting a target on his back.  Now that Israel has murdered him, she must be constantly reminded that his blood is on her hands.",5578,"Dec 7, 2023 · 10:25 PM UTC"
57,@AAbubakar43601,A palestininian girl in Gaza that recognized her mom 🇯🇴💔 😭,320,"Dec 7, 2023 · 7:38 PM UTC"
58,@itranslate123,"When Israel ran out of lies, it regurgitated the rape and sexual violence lie. The first to get the Zionist marching orders is this UN racist Antonio Guterres.  ALL the rape/sexual violence allegations are lies. Israel uses them as smokescreens to justify the Gaza genocide.",1318,"Dec 4, 2023 · 3:34 AM UTC"
59,@visegrad24,It doesn’t look like the Hamas boys are winning against the IDF in Gaza…,4295,"Dec 7, 2023 · 10:41 PM UTC"
60,@itranslate123,"If I must die, let it be a tale.   #FreePalestine #Gaza",90760,"Nov 1, 2023 · 1:01 PM UTC"
61,@marwasf,"In case you wonder how Israel was built in 1948, watch what they’re doing in Gaza in real time. They mass murdered Palestinians, forcibly expelled them from their neighborhoods, and took over whatever is left of their homes, money, and property.",1959,"Dec 6, 2023 · 5:58 PM UTC"
62,@GazaMartyrs,"The situation is catastrophic here in the middle of Gaza Strip. Today, food ran out, there are no blankets for warmth in the winter cold, prices are insane, UNRWA is playing the role of a bystander, we are close to famine, and everyone watches us silently as we die.",2897,"Dec 7, 2023 · 5:58 PM UTC"
63,@ShaykhSulaiman,GAZA 2023 = GERMANY 1943,2539,"Dec 8, 2023 · 12:06 AM UTC"
64,@Nanifa7,me watching Allah dish out Sodom and Gomorrah on Gaza using the unsuspecting IDF as his right hand:,0,"Dec 8, 2023 · 3:47 AM UTC"
65,@jvplive,The footage of Israeli soldiers torturing and humiliating detained Palestinian men in Gaza is horrific.   We’ve seen terrible images like this from genocides throughout history. We know what this leads to. Never again means never again for anyone.,27571,"Dec 7, 2023 · 6:47 PM UTC"
66,@itranslate123,"If I get killed by Israeli bombs or my family is harmed, I blame Bari Weiss @bariweiss and her likes.   Many maniacal Israeli soldiers already bombing Gaza take these lies and smears seriously and they act upon them.",16645,"Oct 31, 2023 · 12:34 AM UTC"
67,@MalakaShwaikh,My sister just messaged me to say that Israel is carrying out summary executions of unarmed men in northern Gaza inside their homes. They force their families and children to watch the executions. They then let the women and children flee the scene. Ceasefire. Now.,22039,"Dec 7, 2023 · 8:29 AM UTC"
68,@ManaOfir,I understood that kamala Harris woke up and finally decided to condemn what Hamas terrorists did to Israeli women on October 7  I remember that she and her daughter raised money for Hamas/Gaza  What are the chances that she will transfer the donation to women in Israel instead?,0,"Dec 8, 2023 · 3:47 AM UTC"
69,@peterdaou,"One day, the killing will end. I know. I lived through it in Lebanon.   When Israel's bloodlust is finally satiated, Israel will be forever stained, a pariah among nations.   And everyone who enabled them will live in everlasting shame.  #Gaza",791,"Dec 8, 2023 · 1:46 AM UTC"
70,@MuhammadSmiry,"This street was crowded with people  Now there only a few people, Around 10 drones are above us!  Khan Younis, Gaza, Palestine",9618,"Dec 7, 2023 · 1:13 PM UTC"
71,@stairwayto3dom,"🚨🇮🇱 SORRY TO SHARE, BUT THE WORLD NEEDS TO SEE THIS TERRORISM THAT’S GOING ON RIGHT NOW IN GAZA!",6706,"Dec 7, 2023 · 12:02 PM UTC"
72,@Megatron_ron,"🇺🇸🇵🇸Name me one nation that is doing more to alleviate the pain and suffering of people in Gaza than the United States. You won't succeed, it just won't work! — John Kirby  The US supplies 100% of the bombs to Israel that massacre the children.  At least be honest, this makes you look like a clown",5281,"Dec 7, 2023 · 8:47 PM UTC"
73,@ME_1948_Updates,"Again, the people on the right were unarmed noncombatants sheltering with their families in northern Gaza. The IOF terrorists ambushed them and stripped them in the cold. Nazi",27267,"Dec 7, 2023 · 6:15 PM UTC"
74,@MarioNawfal,"🇺🇸This plane flew over Harvard today in protest against Harvard's alleged antisemitic behavior.   What makes it worse: The banner was apparently funded by Harvard students.  As I've said since the beginning, the war in Gaza will lead to an increase in hate globally, and this is yet another perfect example.  Source: Fox",793,"Dec 7, 2023 · 10:11 PM UTC"
75,@ImranKhanPTI,Former Prime Minister of Pakistan Imran Khan's condemnation statement from prison against Israel's war crimes in Gaza and the genocide of the Palestinians. #GazaGenocide,27544,"Dec 7, 2023 · 5:10 PM UTC"
76,@ShaykhSulaiman,BREAKING: ISRAEL USING WHITE PHOSPHORUS IN KHAN YOUNES IN GAZA RIGHT NOW,476,"Dec 8, 2023 · 2:36 AM UTC"
77,@jacksonhinklle,💔🇵🇸 ISRAEL has reportedly just MURDERED one of the bravest voices & academics from Gaza: Dr. Refaat al-Ar’eer @itranslate123  🙏 Rest in peace,27759,"Dec 7, 2023 · 7:56 PM UTC"
78,@RaniaKhalek,"People always wonder how the Holocaust happened.   Why did people look away? How could they let that sort of industrialized genocidal slaughter take place? How could so many remain silent, even supportive?   Now we know how it happened. Gaza is showing us the answer to all of those questions.",1912,"Dec 7, 2023 · 10:10 PM UTC"
79,@InfraHaz,"Dear Ukrainian bums: Fuck off and pay your own bills  Dear ""Israeli"" bums: Fuck off and pay your own bills  Dear Taiwan bums: Fuck off and pay your own bills   Why are we paying for Zionists to kill kids in Gaza?  AMERICANS HAVE THEIR OWN BILLS TO PAY!",1115,"Dec 8, 2023 · 1:58 AM UTC"
80,@RamAbdu,"The assassins targeted, went after and killed the voice of Gaza, one of its best academics, a human, my dear and precious friend dr. Refaat al-Ar’eer @itranslate123 @GazaWritesBack",13176,"Dec 7, 2023 · 7:32 PM UTC"
81,@janjancomics,Signal boosting this FB post. The Palestinian families from Gaza don’t have anywhere to stay in Manila after December 21. Please share to reach those who can help.,3888,"Dec 7, 2023 · 7:10 AM UTC"
82,@BennnyH,Refaat was a brave and wonderful person. He wrote this message to me and my mum from Gaza. Today he was killed by an Israeli airstrike. I'm  devastated.,25556,"Dec 7, 2023 · 8:37 PM UTC"
83,@DrEliDavid,Hamas: There is no food in Gaza  Hamas terrorists surrendering today: 👇,18768,"Dec 7, 2023 · 8:24 PM UTC"
84,@DrEliDavid,"12 rockets fired by Hamas from a UN 🇺🇳 humanitarian site in Gaza.  @antonioguterres, @DrTedros, you there? Where is your condemnation?",15013,"Dec 7, 2023 · 11:05 AM UTC"
85,@QudsNen,"""How many more people have to die?""  Labour Party leader Keir Starmer, funded by the Israel lobby, faces questioning regarding his stance on Israel's genocidal war in Gaza.",816,"Dec 7, 2023 · 5:15 PM UTC"
86,@A_Abdelrahman0,"‘ISRAELI SETTLERS, TRUE EDITION’  In this Thread🧵I’ll post Israeli Settlers assaults and violations against Peaceful Palestinians, All of these videos were Before Oct 7 and Were not in Gaza  Get ready to witness what’s HIDDEN  -IT’S TIME TO EXPOSE THE TRUTH-",37076,"Dec 6, 2023 · 5:14 PM UTC"
87,@MargBarAmerica,bari weiss put a target on refaat because he made a joke about the fake “babies in ovens” claim that even israel admitted was made up. the idf knows where everyone in gaza lives. bari has blood on her hands.,8923,"Dec 7, 2023 · 9:00 PM UTC"
88,@tepermanle,"No, he's maintaining the pretense that he is unaware of the extent that Hamas has turned much of Gaza into a legitimate military target and that intentionally endanger civilians is standard practice for Hamas, PIJ, Hezbollah, etc.",0,"Dec 8, 2023 · 3:47 AM UTC"
89,@KimJongwins,This is the same tribe that created fake rape allegations whilst enthroning the RAPE RABBI.   ISRAELI ACCUSATIONS ARE CONFESSIONS.   #Gaza #Israel,84,"Dec 7, 2023 · 7:43 PM UTC"
90,@Aldanmarki,"One of Refaat's last messages to the world.  ""We will win. And Gaza and Palestine will prevail"".",9894,"Dec 7, 2023 · 7:57 PM UTC"
91,@QudsNen,"An Israeli journalist posts a picture of Palestinian civilian prisoners in Gaza, stripped naked in the street, and poses the question on his account, ""Why are there no women in the picture?""  It has been reported that the journalist participated in firing mortar shells at the homes of Palestinians in Gaza while accompanying the occupation forces.",5689,"Dec 7, 2023 · 8:23 PM UTC"
92,@MarioNawfal,Cast your votes: Gaza's journalists or Taylor Swift?,31480,"Dec 7, 2023 · 12:30 PM UTC"
93,@iamjourjean,Now tell me what does the Holocaust memorial in Budapest have in common with the image taken in Gaza.,4008,"Dec 7, 2023 · 10:38 PM UTC"
94,@QudsNen,Heartbreaking moment: Palestinians in Gaza gather what's left from their families' remaining,3399,"Dec 7, 2023 · 5:09 PM UTC"
95,@Kahlissee,Gaza is the new Holocaust.,1573,"Dec 7, 2023 · 11:47 PM UTC"
96,@visegrad24,"American cafe staff refuse to let a Jewish woman use their restroom.  Inside, they have “decorated” it with texts saying:  “Zionism = fascism” “Neutrality helps genocide in Gaza”  There is a mass-psychosis going on…",9240,"Dec 7, 2023 · 9:21 AM UTC"
97,@AJEnglish,"“Trauma is utterly unprecedented.“   UNICEF tells Al Jazeera that the lack of water, food, medicine and protection is becoming an even bigger threat than bombs to the lives of thousands in Gaza ⤵️",1097,"Dec 7, 2023 · 9:42 PM UTC"
98,@NRC_Egeland,"Increasingly, we cannot reach the civilian population in Gaza, because our own aid workers are fleeing for their lives.",2060,"Dec 7, 2023 · 9:23 AM UTC"
99,@abierkhatib,UN Human rights chief  “ situation in #Gaza is apocalyptic”,1578,"Dec 7, 2023 · 3:39 PM UTC"
100,@Stevesosebee,The brutal two-month long killing of thousands of #Gaza children has deeply affected me on an emotional and even a spiritual level in ways I will never truly recover. I think  about thousands of other children in Gaza who we had planned to help.    Thread,254,"Dec 8, 2023 · 3:24 AM UTC"
101,@cjwerleman,“An unbridled and terribly cruel attack against Gaza creates hatred of Israel at levels we've never seen before…And what's even more terrible is this hatred will be justified. Nothing will be more justified.”,48,"Dec 8, 2023 · 3:28 AM UTC"
102,@georgegalloway,Satan has surely taken a firm hand on Israeli conduct now. They imagined this image would help them in the world... #Gaza_Genocide,11280,"Dec 7, 2023 · 8:15 PM UTC"
103,@Saalaaaam,A seamstress in Gaza who designed Palestinian embroidered dresses for my family was killed in Gaza with her children while seeking shelter at a UN school. She is not a number- Her name is Neirman Mohammad Abu Shaeb. Here are some pieces she designed.   Rest in power 💔,14711,"Dec 6, 2023 · 3:18 AM UTC"
